name,Flag,IMO Number,Callsign,Nature and date of activity(s),Year Listed,Ownership history
Amorinn,,7036345,5VAN9,"Sighted 58.4.2 (23 Jan 2004); Sighted 58.5.1 (11 Oct 2003)",2003,"Previous Owners: Seric Business S.A.; Infitco Ltd (Ocean Star Maritime Co.)"
Antony,,7236634,PQMG,"Supporting IUU-listed vessels (03 Mar 2016)",2016,"World Ocean Fishing SL; Previous Owners: Urgora S de RL; Atlanti Pez"
Asian Warrior,,7322897,,"Sighting 57 (26 Feb 2015); Sighted 58.4.1 (11 Jan 2015); Hauling 58.4.1H (07 Jan 2015); Sighted 57 (14 Dec 2014); Sighted 57 (14 Apr 2014); Sighted 58.4.1 (30 Mar 2014); Sighted 57 (07 Sep 2013); Fishing 58.5.1 (13 May 2013); Sighted 57 (10 Mar 2013); Sighted 58.4.2 (28 Jan 2013); Sighted 58.6 (01 Jul 2012); Towing Baiyangdian 57 (01 Apr 2012); Sighted 58.4.1 (13 Feb 2011); Sighted 58.4.1 (21 Jan 2010); Sighted 58.5.1 (10 May 2006); Sighted 58.5.2 (31 Jan 2004)",2003,"High Mountain Overseas S.A.; Previous Owners: Stanley Management Inc; Rep Line Ventures S.A.; Stanley Management Inc; Rep Line Ventures S.A.; Rajan Corporation; Meteora Development Inc; Vidal Armadores S.A.; Navalmar S.A."
Atlantic Wind,,9042001,5IM813,"Fishing 58.4.1H (12 Jan 2015); Sighted 57 (14 Dec 2014); Sighted 57 (13 May 2014); Sighted 57 (01 Jul 2013); Sighted 57 (28 May 2013); Sighted 57 (20 Oct 2012); Sighted 57 (16 May 2012); Fishing 58.4.1 (13 Feb 2011); Fishing 58.4.3b (04 Apr 2010); Fishing 58.4.2 (27 Jan 2010); Fishing 58.4.3b (01 Jul 2009); Fishing 58.4.3b (16 Dec 2005); Fishing 58.4.3a (28 Apr 2005); Fishing 58.4.3a (22 Feb 2005); Undocumented landing Malaysia (01 Aug 2004)",2004,"High Mountain Overseas S.A.; Previous Owners: Redlines Ventures SA; Rajan Corporation; Global Intercontinental Services; Viarsa Fishing Company/Navalmar S.A."
Baroon,,9037537,5IM376,"Sighted 57 (14 Feb 2014); Sighted 57 (19 Nov 2013); Sighted 57 (03 Sep 2013); Sighted 57 (24 Mar 2013); Sighted 57 (05 Oct 2012); Sighted 57 (19 Dec 2010); Sighted 88.1 (15 Jan 2008); Fishing 58.4.1 (19 Mar 2007)",2007,"Vero Shipping Corporation; Previous Owners: Vero Shipping Corporation; Punta Brava Fishing SA"
Challenge,,6622642,HO5381,"Sighted 58.4.3b (08 Feb 2008); Sighted 58.4.3b (10 Dec 2006); Sighted 58.4.3b (22 May 2006); Sighted 58.4.3b (14 Feb 2006)",2006,"Advantage Company S.A.; Previous Owners: Vidal Armadores S.A.; Prion Ltd"
Cobija,,7330399,CPB3000,"Fishing without authorisation (Division 58.4.3b) February to June 2020 (01 Jun 2020); Fishing without authorisation (Division 58.4.3b) December 2017 to March 2018 (01 Dec 2017)",2023,"Express Financial Ventures Group Inc.; Previous Owners: Express Financial Ventures Group Inc.; Fernlene Pty Ltd; Homerest Pty Ltd; Fernlene Pty Ltd; Hout Bay Fishing Pty Ltd; National Sea Products"
Good Hope,Nigeria,7020126,5NMU,"Resupplying IUU vessels 51 (09 Feb 2007)",2007,"Port Plus Ltd; Previous Owners: Sharks Investments AVV"
Heavy Sea,,7322926,3ENF8,"Fishing 57 (29 Jul 2005); Sighted 58.5.1 (03 Feb 2004)",2004,"Barroso Fish S.A.; Previous Owners: Meteora Shipping Inc.; Meteroros Shipping; Muner S.A.; C & S Fisheries S.A."
Jinzhang,,6607666,PQBT,"Fishing 58.4.3b (20 Jan 2009); Fishing 58.4.3b (09 Jan 2009); Fishing 58.4.3b (12 Jan 2008); Fishing 58.4.3b (24 Mar 2007); Fishing 58.4.2 (18 Feb 2007); Fishing 58.4.3b (23 May 2006)",2006,"Belfast Global S.A.; Previous Owners: Belfast Global S.A.; Vidal Armadores S.A.; Nalanza S.A.; Arniston Fish Processors Pty Ltd"
Koosha 4,Iran,7905443,9BQK,"Sighted 58.4.1 (15 Feb 2011); Sighted 58.4.1 (20 Jan 2011)",2011,"Pars Paya Seyd Industrial Fish; Previous Owners:"
Limpopo,,7388267,,"Sighted 58.4.3b (25 Jan 2007); Fishing 58.4.3b (14 Dec 2005); Fishing 58.4.3b (23 Feb 2005); Sighted 58.5.1 (03 Dec 2003); Fishing 58.5.2 (21 Sep 2003)",2003,"Alos Company Ghana Ltd; Previous Owners: Lena Enterprises Ltd; Grupo Oya Perez (Kang Brothers)"
Nika,,8808654,HP6686,"Fishing without authorisation (08 Jun 2019)",2020,"Marine Fisheries Corp. Co. Ltd; Previous Owners:"
Northern Warrior,Angola,8808903,PJSA,"Supporting IUU-listed vessels (03 Mar 2016)",2016,"Orkiz Agro-Pecuaria, Pescas, Transportes E Comercio Geral, Limitada; Previous Owners: South Atlantic Fishing NV; Snoek Wholesalers; Areapesca SA; SIP"
Perlon,,5062479,5NTV21,"Sighted, boarded 57 (22 Apr 2015); Sighted 57 (20 Jul 2014); Sighted 51 (10 Feb 2012); Fishing 58.5.1 (08 Jun 2010); Gear sighted (10 Feb 2009); Sighted 58.4.1 (16 Dec 2008); Sighted 58.4.1 (30 Dec 2006); Sighted 58.4.3b (07 Dec 2006); Fishing 58.4.1 (26 Jan 2006); Sighted 58.4.3b (11 Dec 2005); Sighted 58.4.2 (22 Jan 2004); Sighted 58.5.1 (04 Jun 2003); Sighted 58.5.1 (03 Dec 2002)",2003,"Americagalaica S.A.; Previous Owners: Americagalaica S.A.; Jose Lorenzo SL; Vakin S.A."
Pescacisne 1,,9319856,9LU2119,"Hauling 58.4.1H (06 Jan 2015); Sighting 57 (08 Dec 2014); Sighted 57 (13 May 2014); Sighted 58.4.1 (20 Jan 2014); Sighted 57 (04 Jul 2013); Sighted 57 (28 May 2013); Fishing 58.6 (03 Jul 2012); Sighted 57 (24 Apr 2012); Sighted 58.4.1 (31 Jan 2012); Sighted 58.4.1 (30 Jan 2012); Sighted 58.4.1 (29 Jan 2012); Fishing 58.4.1 (07 Apr 2010); Sighted 57 (07 Dec 2009); Sighted 58.4.3b (22 Apr 2009); Supporting activities of IUU vessels 51 (16 May 2008)",2008,"Eastern Holdings; Previous Owners: Eastern Holdings; Omunkete Fishing Pty Ltd; Mabenal S.A."
Sea Urchin,,7424891,5IM207,"Fishing 58.4.4b (10 Nov 2006)",2007,"Kiase Peche Co Ltd; Previous Owners: Farway Shipping; Cecibell Securities"
STS-50,,8514772,5VDR2,"Sighting in Area 57 (06 Apr 2017); Landing IUU catch (25 May 2016)",2016,"Marine Fisheries Corp. Co. Ltd; Previous Owners: Red Star Co. Ltd; STD Fisheries Co. Ltd; Sun Tai International Fishing Corp; Taiyo A & F Co. Ltd; Taiyo Susan; Taiyo Namibia; Maruha Corporation"